@relation weka_TrainingData_driverHabit_jee_df_clustered

@attribute Instance_number numeric
@attribute 56.270603 numeric
@attribute 0 numeric
@attribute -28.1353015 numeric
@attribute -46.072006 numeric
@attribute 28.4285025 numeric
@attribute 3 numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6}

@data
325,45,41.189998,-1.905001,-3.160002,35.563888,3,cluster2
326,31.604218,28.371536,-1.616341,-3.134629,25.411644,3,cluster2
327,109.37111,106.22111,-1.575,-3.12134,90.259631,3,cluster5
328,49.155582,44.43425,-1.180333,-3.120084,65.867513,5,cluster2
329,52.72371,44.415287,-1.661685,-3.116223,79.980248,6,cluster2
330,62.448658,53.578888,-0.739147,-3.115082,210.674617,13,cluster2
331,105.28965,102.19346,-3.09619,-3.09619,57.634197,2,cluster5
332,105.50647,100.14729,-2.67959,-3.09303,85.803911,3,cluster5
333,44.652245,39.344852,-1.769131,-3.090957,47.236463,4,cluster2
334,97.101875,89.86441,-1.447493,-3.08262,156.502789,6,cluster4
335,112.75886,107.88577,-2.436545,-3.07349,92.112192,3,cluster5
336,70.29294,67.220505,-3.072435,-3.072435,38.198179,2,cluster2
337,72.6131,69.5502,-3.0629,-3.0629,39.489806,2,cluster2
338,103.82739,99.178116,-2.324637,-3.062204,84.790507,3,cluster5
339,104.41959,97.19614,-2.407817,-3.054135,112.44694,4,cluster4
340,90.52775,87.091896,-1.145285,-3.023836,97.895628,4,cluster4
341,108.46042,102.80739,-1.413258,-3.023355,145.787965,5,cluster4
342,103.96097,99.93187,-2.01455,-3.01912,84.676303,3,cluster5
343,7.345054,0.851499,-2.164518,-3.01615,4.247091,4,cluster0
344,29.237534,26.22272,-3.014814,-3.014814,15.405626,2,cluster3
345,111.13742,103.641884,-1.873884,-3.00221,148.428321,5,cluster4
346,54.100994,51.101532,-2.999462,-2.999462,29.222924,2,cluster3
347,75.07216,72.07547,-2.99669,-2.99669,40.874342,2,cluster2
348,115.47865,111.55229,-1.96318,-2.994974,94.882834,3,cluster5
349,99.037704,94.26751,-1.590065,-2.98685,107.992911,4,cluster4
350,102.19349,98.09728,-2.048105,-2.98434,83.194422,3,cluster5
351,101.614975,95.017624,-2.199117,-2.972975,109.187505,4,cluster4
352,62.301727,56.195896,-1.017638,-2.969414,116.969613,7,cluster2
353,16.669999,13.5,-1.584999,-2.959999,12.952777,3,cluster0
354,102.99926,93.26321,-1.622675,-2.9585,190.777297,7,cluster4
